actual,Orginal_text,predicted,explanation,is_valid_json
1,"Currently having a liquidation sale, but it's not really worth the trip.  I found that most books were cheaper at Amazon then the sale price.  A few were even cheaper at Barnes and Noble then the liquidation sale price!  Which just made me say to myself well that's probably why you're going out of business try some competitive pricing!  The place is an absolute disaster they've moved a lot so the sales staff doesn't even know where everything is.  Also the place just smells dirty and old, it's very unwelcoming.  It's really no surprise to me they couldn't get customers before.",1,"The reviewer was dissatisfied with the store's condition, pricing, and overall experience, indicating that they would not recommend it.",True
1,"I was there on a Friday night with a few friends in the hopes of a quick drink and nosh after a show next door.
My companion and I ordered basic drinks and were met with shots of liquor in the bottoms of our glasses and a blank look from the waitress when I asked if they were out of mixers.  After this, we opted not to order any food (taking our cue from the inability to mix gin with tonic water) and were met with an outrageous bill (for our two 'well' shots).  We questioned the tally and were met with a second total that wasn't much better.  
Our credit card was charged twice: $40 for some wet ice and a lemon wedge.  There are many cool and artsy places in Phx where we can catch live music and nosh with friends.  I'll pass this one up from now on.",1,"Poor service, overcharged, and incompetence in mixing drinks. ",True
1,"Horrible experience. We had a home emergency which forced us to move out for 15 days. We referred to them by a friend. We explained to them we're Seniors on limited income but assured them they'd be paid in full. We paid the medical and our insurance co verbally told them that once the bill was submitted they would be paid.  But, No, No, NO!!!!  ""Not our policy""  They were holding our two kids for ransom!!!

Horrible, uncaring staff to deal with.",1,"The reviewer had a negative experience due to their account being held hostage for ransom, despite assurances that they would be paid in full. They found the staff to be uncaring.",True
1,"Surprised this place isn't closed by now. Went here once when I first started going to ASU and never came back.

Their ingredients are not fresh, gyro meat tastes old and decrepit. They really need to hire better pita makers who don't resemble drug addicts and derelicts. My pita was falling apart before it was even handed to me. Literally, by the time I got it to the table it was soggy and not even worth eating!",1,"The reviewer mentions outdated ingredients, poor pita quality, and a negative impression of the staff, indicating a very low rating.",True
1,This place is not there anymore.,1,Negative tone indicates poor experience or canceled establishment.,True
1,"I'll be charitable - this place sucks!

I went there because a friend had *exactly* the piece of furniture I needed and he got his from Ikea.   After wandering around the store forever, I finally found the right department.

The people working there were cold. uncaring. not helpful. no concept of customer service.  I left in disgust!

Couple of days later, I was in Cost Plus World Market @ 18th St. & Camelback.  Voila!  I fould what I wanted - for close to the same price.  the BIG difference:  Warm smiles, friendly people, volunteered to go out of their way to help me.  Felt like I was among long-time friends!  They even delivered when they said they would.

And, no need to drive half way to tucson and back!

Ikea?  Don't be foolish.  Cost Plus?  Now, there's a place that earned my repeat business!",1,"Poor customer service from unfriendly and unhelpful staff, leading to a negative shopping experience.",True
1,Not worth the money. Food was average and the portion was small for the price I paid.,2,"Reasonable rating due to dissatisfaction with the value for money, with average food and small portion size for the given price.",True
1,"I am furious.

In the last 12 months, I have had at least scheduling issues, from them calling me at 8AM on a Saturday morning (my 1 day off) to cancel my 11am appointment to last Saturday, when I went in only to be told someone had messed up, and actually booked me for the NEXT week, and despite me driving all the way out there at 11am, they couldn't get me in until maybe that evening, and then not with someone who had experience in deep tissue/medical massage. I was irritate and ready to ask for my membership refunded then, but Ashley the clinic manager promised me that they'd give me my next week appointment free of charge, and that she'd personally be certain there were no more issues.  As I literally couldn't turn my head to the left due to pain, I took her up on that. BIG MISTAKE.

Yesterday (the Friday before my ""correctly"" scheduled massage, I went out of my way to call in and confirm my own bloody appointment, to try and avoid last week's debacle. According to the woman who answered the phone, it looked like my schedule therapist was actually scheduled off, but she went to talk with her manager, and came back to the phone telling me everything was ok, and that she'd call with any issues. Then yesterday evening, I got ANOTHER confirmation call from Massage Envy, confirming and reminding me of my 11:30am appt on Saturday with my preferred therapist. GIven that I've had 3 migraines this week (versus my 0 or 1 when I get a massage the weekend prior), I really absolutely needed to get in, so I felt more confident.

Well, I was just woken up at 8am...again. On my day off...again. To explain to me that, big shock, they messed up my scheduling again, and that apparently, my therapist was off today. Despite Ashley's promise of it not happening again. Despite me being pro-active and calling to confirm. I am sitting here in pain, so furious at this repeated treatment that I can't even go back to bed...and the best part? They don't even have a manager on duty I can complain to.

My treatment at the hands of the booking/front desk staff has been any thing BUT relaxing. I continue to walk out of there frustrated, angry, and occasionally in tears. I know they say Fool Me Once, Shame On You, Fool Me Twice, Shame On Me, but I was trying to give them the benefit of the doubt. I'm pretty screwed for today and the next week, but luckily, an Elements place with a similar concept opened recently in the general area. At this point, it literally cannot be any worse than massage envy. As much as I love Talisha and Aisha as massage therapists, getting a massage should feel good, and not like you're just a number to them, not like you actually have to spend more time trying to get a damn appointment than you actually get to spend IN the appointment.",1,"Repeated scheduling issues and poor communication led to extreme frustration and disappointment, despite some positive interactions with certain staff members.",True
1,"Last night on my way home from work I figured I would pick up some dinner for me and my wife who is taking care of our newborn all day and has little time to cook for us. I ordered chicken limone the menu says serves two to three and we don't eat a lot so I figured it would fill us up. The price was 18.99 but I figured in a family style Italian place and we should have plenty of food. 

I was handed my bag and I was sure it was the wrong order because it was so light so I checked it in the car and was shocked. 

I see three small pieces of chicken in a big container with a small piece of bread and that's it! 

So I figured they just forgot the pasta and went back in and asked the hostess and she said yes it comes with it then said no after thinking about it. 

So how can they justify that price? It was so small there was no way it would feed 2 people so I had to cook pasta at home and then reheat our chicken in the microwave.

I worked in the service industry for years and this place is a joke! 

FYI just because there's people with money who live near your restaurant doesn't mean you can tailor your food prices to their income level without delivering value.........if you sell crap in the worst neighborhood that same crap should be priced the same in a affluent neighborhood....same crap different place.

No value means lost customers ....",1,"The reviewer was extremely dissatisfied with their experience, feeling taken advantage of by a small serving size that don't match the price and menu description. They specifically mention that it was 'crap' and that the portion was laughably small for two people, highlighting a clear disconnect between value and payment.",True
1,"Pure Fitness as a whole I like. No contracts, the people going there are actually there to work out and not to be seen, (ex. LA Fitness). Plus you get complimentary training sessions. However, this location I will NEVER return to and its all because of their new GM Adam. I had a free pass and he was the one that I had been assigned to for my fitness test and 1st training session. I had already explained that I planned to join but he wouldn't stop the full court press of selling which I didnt like at all. I wanted to use my weeks free pass THEN join. He wanted me to give him money right then and there when he hadnt so much as given me a tour yet! Anyway, I told him I wanted to wait and then he starts asking when I get paid, is it a money situation, etc..if made me VERY uncomfortable.

 I went ahead with the training session and he knew in advance that Im not inactive but going to the gym is not something Ive done on a consistent basis in a very long time. Now I enjoyed the workout but from what others have told me..he pushed me way to hard for my first time out of the gate. My arms weren't sore, I know sore, Im okay with sore but they became weak for FIVE days, that I had trouble sleeping they had that irritable and restless feeling, and it hurt to use a freakin' date stamp at work! 

But the reason Im not going back..I was surfing them online and saw how easy it was to sign up online so I did. That way I wouldnt have to worry about remembering voided checks etc.  Well I called Adam to let him know and he went off on me.. just short of yelling. ""Great, now I lose the commission the gym loses the points.. you can understand why Im upset right."" and he went on for about 5 minutes. I was stunned at how unprofessional he was and he's the GM??? If they work on commission they should give you a heads up ""hey I know its easy to sign up online but we work on commission so I would appreciate it if you went through me if and when you choose to sign up"". I would have respected that. OR if when you sign up online it allows you to put in the name of the person you have been working with so it doesn't circumvent them. But I was floored and pissed that he came at me like that. 

Ps. Of all the Pure Fitness this one is the smallest, visually unappealing and has the worst customer service. I did sign up and I love the one I go to now...but this one I will never step foot in again",1,"The reviewer had a poor experience with a GM named Adam, who was pushy and unprofessional. The reviewer felt uncomfortable during training sessions due to Adam's aggressive sales tactics and was yelled at when they signed up online instead of going through Adam.",True
