actual,Orginal_text,predicted,explanation,is_valid_json
1,"Oh boy.. I usually LOVE LOVE Mucho Gusto.. but NO ME GUSTA today!

We got a to go order, perhaps that was mistake numero uno.  I got the nachos.. really, you can't mess those up... Or so I thouhgt! I mean Filiberto's would have been a better choice!  Can you say cold soggy mess.. maybe that was my fault. I will accept the blame. I really should have known better. 

Mistake numero dos... What do you call Shrimp Cocktail with out the shrimp?? Bad Service! Lack of quality control....Really.. Really? You forgot the shimp? How do you do that.... Better question WHO DOES THAT?

Mistake numero tres...lemme just say burned tasting chips (as opposed to my soggy nacho chips) and left an acrid taste in ones mouth and the most offending guacamole that I have ever had. 

Let me just say that my co worker and I eat here frequently enough that we can order for each other. We also know to order our guacamole with out the Grand Marnier galze thingy on top.  

Mucho Gusto you mucho FAILED me today.  I hate leaving a bad review without first compaining to management so expect a phone call from me shortly.",1,"The reviewer had a dismal experience with their to-go order, citing cold and soggy nachos, missing shrimp in the shrimp cocktail, burned tasting chips, and unacceptable guacamole. The lack of quality control and poor service led to a disappointing visit, indicating a major misstep by the restaurant.",True
1,I love how all other Yelpers reviewing this company have discovered the same issues that would never permit me to use their services again. Company is a disaster and should be reported to the BBB.,1,"The reviewer strongly dislikes the company, mentions critical issues, and explicitly states they would not use their services again, indicating a strong negative experience.",True
1,"The food is delicious.  The service:  discriminatory.  The bartender, blonde gentlemen, went around to everyone else, then finally acknowledge us.  This is embarrassing, I don't know what else to say.",1,"The reviewer mentions discriminatory service, which suggests a severe issue, and describes the experience as embarrassing. This implies a strongly negative experience, warranting a single-star rating.",True
1,"Buca Di Beppo is literally, italian restaurant hell. You know how all big box chain restaurants throw junk up on the walls in an attempt to make the space feel vintage? Buca Di Beppo throws junk, and knick knacks and statues and anything else 'italian' they could find in the chinese warehouse where they loaded up these goods. It's a terrible horrible mess and you end up sitting in a yardsale of italian paraphenalia while eating your very bland pasta.


It's embarassing how truly flavorless the food is here. Thin, flavorless alfredo sauce. Thick slabs of lasagna with less taste than what I can get out of the frozen section at Publix. I went with a large group and across the table, bland food.

When they seat your party, they guide you through the kitchen area where the cooks play along and say a welcoming hello. Deep down you know they hate this. Why are we in the kitchen? Sure it's nice, but I'd rather have them concentrating on making the food, and making it good. Of course, the food at Buca Di Beppo seems to be far beyond any point of return to tasting good. It's just dead. Dead food. No life, no flavor, not emotion. I get more flavor from the $.99 Michelina's frozen lunch package.

Far from claiming anything authentic Italian, Buca Di Beppo even pumps out bread with no taste. Eating at Buca is like eating food from an assisted living facility. No salt, no sugar, no butter, no fat, it's all gone along with anything resembling taste. Sure, Buca has huge portions, and the setup is nice for large parties and families - but they might as well just buy the family-size pasta packs from the frozen section and bake it at home, even that would be better, and they wouldn't have to the mandatory gratuity. Say what you will about other italian chains like Macaroni Grill, or Olive Garden - at least their food taste like something.",1,"The reviewer was extremely dissatisfied with Buca Di Beppo, citing a messy and tasteless environment, bland food, and a lack of flavor. They compared their experience to eating from an assisted living facility and suggested that buying frozen pasta packs would be a better option.",True
1,"I'm sorry. You're too busy to look up my club card information? Too busy too push the button to do the search, enter my phone number and click ok?

I took the time once upon whenever to sign up for your card. And now, you can't take 5 seconds to look it up for me? Let me clue you in, the cashiers here have always looked it up. It always takes 5-10 seconds at most! Great customer service. Insert sarcasm here for the uneducated.

Other Big Lots this hasn't been a problem. Just the one.",1,"Poor customer service experience due to the store not being able to look up the customer's club card information, contradicting the writer's past experiences with other cashiers.",True
1,"Horrible experience. We had a home emergency which forced us to move out for 15 days. We referred to them by a friend. We explained to them we're Seniors on limited income but assured them they'd be paid in full. We paid the medical and our insurance co verbally told them that once the bill was submitted they would be paid.  But, No, No, NO!!!!  ""Not our policy""  They were holding our two kids for ransom!!!

Horrible, uncaring staff to deal with.",1,The reviewer had a severely negative experience with uncaring and unhelpful staff who refused to pay for services despite the claimant's assurance of payment and insurance verification.,True
1,Their amazing prices are instantly countered by despairing customer service.  If I want low prices I will go to goodwill over this place.  Looks like Dillard's is on my list of do not shop.,1,"The customer service was very bad, which discount was not enough to overcome the poor service",True
1,"4 stars for the place itself and it's food/coffee.
0 stars for the service, or lack there of.  My business partner and I were in town for a convention.  We heard we should check out Lola.  So we did.  We were excited.  The lady (I use the term loosely here) who took our order was LESS than patient OR helpful.  We asked a few questions.  She barely answered us, then when we had to repeat the question she was nothing short of annoyed.  An example.  We asked where we could get a glass or cup of water.  She mumbled something about the bar/table.  My partner walked over and saw no cups.  She came back and asked where the cups were.  On the table came an exasperated retort.  I walked over to inspect for myself.  There were no cups on the table.  So I kindly asked her if the cups should be on the table, if so there appeared to be none.  She said they are on the table, but *sigh* I'll go check, but I know they're there!  10 seconds later she comes out of the kitchen with a tube of cups.  IMAGINE THAT the customer was right.  I watched this lady serve other customers.  It appears that regulars are treated with a smile and courtesy and patience.  Newcomers or people she doesn't like are treated worse than the dirt on the bottom of her shoes.

My suggestion to management, adjust her attitude or get rid of her!  She is not good for business.",2,"The reviewer gave 4 stars for the place's food/coffee, but deducted 2 stars for the extremely poor service they received, citing a rude and unhelpful staff member who seemed to have a negative attitude towards new customers.",True
1,"This place has really bad service and the food is barely decent, I would advise not to dine here. There are much better Vietnamese restaurants in Phoenix.",2,"Strong negative sentiment towards service and food quality, with a clear recommendation to avoid the restaurant.",True
1,"Worst, slow service ever....especially with almost no one in the place. Food was average at best and thats being kind. Skip it if you are looking to eat or get a drink.

Just an update: I (as well as a friend who wrote a review of the day) were contacted (I didn't see my message until today oops) and offered refunds and gift certificates. Now this seems all well and fine-I do appreciate them trying to make the most of the situation-but my friend is still waiting for a refund and/or certificate. So we shall see. If I could take away my star for more non-service then I would.",1,"Customer had a very negative experience with slow service, average food, and issues with refunds. Only a refund and apology (with the apology being conditional) improved the owner's attempt to resolve the issue.",True
1,"I enjoy falafels and my boyfriend really likes Gyros.  So, when we received a coupon for Daphne's Greek Café we were jazzed to go check it out.

What I noticed right away is it has kind of a fast-food sort of feel to it and I thought, OK, its catering to people on their lunch breaks.  However, the food itself is like Greek fast food for people who have never had anywhere near really Greek food before and so they wouldn't know any better.

The plates are astatically pleasing with everything arranged nice and neat.  This amounted to zilch to me.  When I got to eat, I want plenty of food and I want quality as appropriately expected from the type of establishment I am eating at.  

At Daphne's you get a few little thin slices of what may or may not be real gyro meat.  The falafel meat is little over fried disks.  That's right disks.  Not balls of falafel meat where the outside is slightly crunchy and the inside is meaty and moist.  The pita bread is not.  It's just some flat bread cut into little triangles.  The tzatziki sauce is ... what the heck is this stuff in this little 1 inch paper cup?  The vegetables were fresh.

There is more to complain about with this place, but you get the picture.  I'm thinking that anyone who likes it here just doesn't know what real Greek food is like.",1,"The reviewer expresses significant disappointment with the food quality, presentation, and authenticity, suggesting that it's a subpar representation of Greek cuisine.",True
1,"I understand I'm not dude and so I'm not there to state at your ""twin peaks"" however, that being said I am there to buy a beer and when it takes the bartender 20 minutes just to get a beer I'm over it. So I was never gonna come back but was forced with a group of friends who wanted to eat and was just as upset as the first time. Fries were soggy and our server disappeared. We all decided were not going back. Just because your a good looking server doesn't give you an excuse for sucking.",2,"The reviewer had a poor experience with slow service (20 minutes for a beer), subpar food (soggy fries), and unresponsive server, prompting a decision not to return for the second time.",True
1,"No, I simply cannot put in a good review for Miracle Mile. 
A coworker recommended this place to me. Actually, two coworkers did.
However, upon inspection of my pie right before I was about to eat it, I noticed that there was mold in it.

Yes, mold.

Sorry Miracle Mile, your fries were bland and while your chicken tenders were decent, I can't forgive mold in a pie. I did take a picture of it so I will be adding it to this review as soon as I can.

Who knows if I will get my 2.95 for moldy pie back.

*ETA
MM has been notified and I am to receive a gift certificate for my 2.95. I was given the option of returning it but it's over a 40 min drive.",1,"The review is extremely negative due to the presence of mold in the pie, with no redeeming qualities mentioned for the rest of the food or service.",True
1,"I will make this real easy for you. 

Just go to in-and-out Burger if you don't want to feel gross and poor.",1,Reviewer expressed strong dissatisfaction and insult towards the dining experience.,True
